positive_text
We will get through this
You don't have to be perfect
Don't give up no matter the obstacle
stay true to your values!
The future is inside us!
We are friends
We are community
We are neighbors
We are tight
We have one another
We are in this together
You are an awesome human
You are a gift
Nice Moves
You're haveing a great hair day!
Thank you for making the world a better place!
You look great today!
You can do the thing! 
You have got this! 
You are a beautiful human
Don't forget to breathe
<3 <3 <3
Be fearless in your pursuits
We are United
"Open Mind, Open Heart"
Keep it weird
Everything will be okay
You are loving awareness
Be Yourself
Be Awesome
Be Wacky
"Be Serious - Seriously, okay maybe not"
Be Peaceful
Be Present
Be Spacey
Be the Experience 
Be Imaginative
Be Inquisitive
Fuel the Future with Love
